cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,imputedFloorWageIndex,name
41620,20200101,00.9892,00.9644,00.0000,,
41660,20200101,00.8236,00.8236,00.0000,,
41700,20200101,00.8383,00.8383,00.0000,,
41740,20200101,01.2231,01.2231,00.0000,,
41884,20200101,01.7835,01.7835,00.0000,,
41900,20200101,00.4277,00.4277,00.0000,,
41940,20200101,01.8551,01.8551,00.0000,,
41980,20200101,00.4160,00.4160,00.0000,,
42020,20200101,01.2663,01.2663,00.0000,,
42034,20200101,01.7899,01.7899,00.0000,,
42100,20200101,01.8374,01.8374,00.0000,,
42140,20200101,01.0692,00.9198,00.0000,,
42200,20200101,01.4137,01.3939,00.0000,,
42220,20200101,01.6633,01.6633,00.0000,,
42340,20200101,00.7893,00.7893,00.0000,,
42540,20200101,00.8417,00.8417,00.0000,,
42644,20200101,01.1590,01.1450,00.0000,,
42680,20200101,00.8148,00.8148,00.0000,,
42700,20200101,00.7991,00.7991,00.0000,,
43100,20200101,00.9368,00.9368,00.0000,,
43300,20200101,00.8550,00.8550,00.0000,,
43340,20200101,00.8046,00.8046,00.0000,,
43420,20200101,00.8389,00.8389,00.0000,,
43524,20200101,00.9639,00.9639,00.0000,,
43580,20200101,00.8428,00.8428,00.0000,,
43620,20200101,00.7925,00.7925,00.0000,,
43780,20200101,00.9352,00.9352,00.0000,,
43900,20200101,00.8473,00.8473,00.0000,,
44060,20200101,01.0860,01.0544,00.0000,,
44100,20200101,00.9350,00.9185,00.0000,,
44140,20200101,01.0285,01.0285,00.0000,,
44180,20200101,00.8067,00.8067,00.0000,,
44220,20200101,00.8894,00.8894,00.0000,,
44300,20200101,01.0203,00.9239,00.0000,,
44420,20200101,00.8896,00.8896,00.0000,,
44700,20200101,01.4494,01.4494,00.0000,,
44940,20200101,00.7062,00.7062,00.0000,,
45060,20200101,01.0110,00.9691,00.0000,,
45104,20200101,01.1708,01.1708,00.0000,,
45220,20200101,00.8225,00.7659,00.0000,,
45300,20200101,00.8814,00.8814,00.0000,,
45460,20200101,00.9130,00.8764,00.0000,,
45500,20200101,00.8457,00.8457,00.0000,,
45540,20200101,00.8264,00.8264,00.0000,,
45780,20200101,00.9018,00.8792,00.0000,,
45820,20200101,00.9112,00.9112,00.0000,,
45940,20200101,01.0319,01.0319,00.0000,,
46060,20200101,00.8871,00.8871,00.0000,,
46140,20200101,00.8457,00.8457,00.0000,,
46220,20200101,00.8107,00.7638,00.0000,,
46300,20200101,00.8798,00.8798,00.0000,,
46340,20200101,00.8239,00.8239,00.0000,,
46520,20200101,01.2412,01.2412,00.0000,,
46540,20200101,00.9257,00.9257,00.0000,,
46660,20200101,00.7109,00.7109,00.0000,,
46700,20200101,01.8286,01.8286,00.0000,,
47020,20200101,00.8598,00.8598,00.0000,,
47220,20200101,01.1328,01.1328,00.0000,,
47260,20200101,00.8814,00.8814,00.0000,,
47300,20200101,00.9435,00.9435,00.0000,,
47380,20200101,00.9162,00.9162,00.0000,,
47460,20200101,01.0587,01.0587,00.0000,,
47580,20200101,00.7288,00.7288,00.0000,,
47664,20200101,00.9724,00.9505,00.0000,,
47894,20200101,01.0079,01.0079,00.0000,,
47940,20200101,00.8280,00.8280,00.0000,,
48060,20200101,00.9357,00.9205,00.0000,,
48140,20200101,00.8964,00.8964,00.0000,,
48260,20200101,00.7945,00.7945,00.0000,,
48300,20200101,00.9490,00.9490,00.0000,,
48424,20200101,00.8909,00.8909,00.0000,,
48540,20200101,00.6633,00.6633,00.0000,,
48620,20200101,00.8437,00.8437,00.0000,,
48660,20200101,00.9212,00.9212,00.0000,,
48700,20200101,00.8733,00.8733,00.0000,,
48864,20200101,01.1315,01.0610,00.0000,,
48900,20200101,00.9076,00.8832,00.0000,,
49020,20200101,00.8966,00.8966,00.0000,,
49180,20200101,00.9303,00.9303,00.0000,,
49340,20200101,01.1672,01.1567,00.0000,,
49420,20200101,01.0034,01.0034,00.0000,,
49620,20200101,00.9189,00.9189,00.0000,,
49660,20200101,00.7991,00.7991,00.0000,,
49700,20200101,01.2656,01.2656,00.0000,,
49740,20200101,00.9664,00.9664,00.0000,,
