cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
41420,20240101,1.1135,1.1135,0.0000,Salem OR
41500,20240101,1.6847,1.6847,0.0000,Salinas CA
41540,20240101,0.8958,0.8958,0.0000,Salisbury MD-DE
41620,20240101,0.9138,0.9039,0.0000,Salt Lake City UT
41660,20240101,0.7641,0.7641,0.0000,San Angelo TX
41700,20240101,0.8414,0.8414,0.0000,San Antonio-New Braunfels TX
41740,20240101,1.2607,1.2607,0.0000,San Diego-Chula Vista-Carlsbad CA
41884,20240101,1.8744,1.8744,0.0000,San Francisco-San Mateo-Redwood City CA
41900,20240101,0.3699,0.3585,0.0000,San Germ�n PR
41940,20240101,1.8366,1.8366,0.0000,San Jose-Sunnyvale-Santa Clara CA
41980,20240101,0.3601,0.3601,0.0000,San Juan-Bayam?n-Caguas PR
42020,20240101,1.2271,1.2271,0.0000,San Luis Obispo-Paso Robles CA
42034,20240101,1.7708,1.7708,0.0000,San Rafael CA
42100,20240101,1.6587,1.6587,0.0000,Santa Cruz-Watsonville CA
42140,20240101,1.0142,0.9067,0.0000,Santa Fe NM
42200,20240101,1.4033,1.3783,0.0000,Santa Maria-Santa Barbara CA
42220,20240101,1.6886,1.6886,0.0000,Santa Rosa-Petaluma CA
42340,20240101,0.7918,0.7918,0.0000,Savannah GA
42540,20240101,0.8210,0.8210,0.0000,Scranton--Wilkes-Barre PA
42644,20240101,1.1488,1.1307,0.0000,Seattle-Bellevue-Kent WA
42680,20240101,0.7901,0.7901,0.0000,Sebastian-Vero Beach FL
42700,20240101,0.8303,0.8303,0.0000,Sebring-Avon Park FL
43100,20240101,0.9477,0.9477,0.0000,Sheboygan WI
43300,20240101,0.7942,0.7942,0.0000,Sherman-Denison TX
43340,20240101,0.7846,0.7846,0.0000,Shreveport-Bossier City LA
43420,20240101,0.8007,0.8007,0.0000,Sierra Vista-Douglas AZ
43580,20240101,0.8521,0.8521,0.0000,Sioux City IA-NE-SD
43620,20240101,0.7831,0.7831,0.0000,Sioux Falls SD
43780,20240101,0.9348,0.8740,0.0000,South Bend-Mishawaka IN-MI
43900,20240101,0.8791,0.8791,0.0000,Spartanburg SC
44060,20240101,1.0556,1.0227,0.0000,Spokane-Spokane Valley WA
44100,20240101,0.8901,0.8901,0.0000,Springfield IL
44140,20240101,0.9447,0.9447,0.0000,Springfield MA
44180,20240101,0.7654,0.7654,0.0000,Springfield MO
44220,20240101,0.9288,0.9288,0.0000,Springfield OH
44300,20240101,1.0083,0.8898,0.0000,State College PA
44420,20240101,0.8773,0.8773,0.0000,Staunton VA
44700,20240101,1.5179,1.4352,0.0000,Stockton CA
44940,20240101,0.7702,0.7702,0.0000,Sumter SC
45060,20240101,0.9764,0.9329,0.0000,Syracuse NY
45104,20240101,1.1649,1.1649,0.0000,Tacoma-Lakewood WA
45220,20240101,0.7994,0.7662,0.0000,Tallahassee FL
45300,20240101,0.8552,0.8552,0.0000,Tampa-St. Petersburg-Clearwater FL
45460,20240101,0.8350,0.8350,0.0000,Terre Haute IN
45500,20240101,0.8641,0.8149,0.0000,Texarkana TX-AR
