apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
05114,J1,20240101,006823.42,01364.69,01364.69
05115,J1,20240101,012552.87,02510.58,02510.58
05116,J1,20240101,017774.76,03554.96,03554.96
05151,T,20240101,000188.92,00037.79,00037.79
05152,T,20240101,000389.46,00077.90,00077.90
05153,J1,20240101,001618.82,00323.77,00323.77
05154,J1,20240101,003571.77,00714.36,00714.36
05155,J1,20240101,006527.97,01305.60,01305.60
05161,T,20240101,000232.98,00046.60,00046.60
05162,T,20240101,000524.77,00104.96,00104.96
05163,J1,20240101,001454.56,00290.92,00290.92
05164,J1,20240101,003070.81,00614.17,00614.17
05165,J1,20240101,005585.51,01117.11,01117.11
05166,J1,20240101,031984.66,06981.39,06396.94
05181,T,20240101,000599.17,00119.84,00119.84
05182,J1,20240101,001527.52,00305.51,00305.51
05183,J1,20240101,003040.18,00608.04,00608.04
05184,J1,20240101,005241.36,01048.28,01048.28
05191,J1,20240101,003107.96,00863.75,00621.60
05192,J1,20240101,005451.51,01090.31,01090.31
05193,J1,20240101,010492.72,02098.55,02098.55
05194,J1,20240101,016724.70,03344.94,03344.94
05200,J1,20240101,027721.28,05544.26,05544.26
05211,J1,20240101,001135.13,00227.03,00227.03
05212,J1,20240101,007123.02,01424.61,01424.61
05213,J1,20240101,022652.74,04530.55,04530.55
05221,T,20240101,003745.52,00749.11,00749.11
05222,J1,20240101,008103.03,01620.61,01620.61
05223,J1,20240101,010184.75,02036.95,02036.95
05224,J1,20240101,018584.67,03716.94,03716.94
05231,J1,20240101,022482.03,04496.41,04496.41
05232,J1,20240101,031378.60,06275.72,06275.72
05241,S,20240101,000414.04,00082.81,00082.81
05242,S,20240101,001463.41,00292.69,00292.69
05243,S,20240101,004413.93,00882.79,00882.79
05244,J1,20240101,052120.36,10424.08,10424.08
05301,T,20240101,000864.59,00172.92,00172.92
05302,J1,20240101,001814.88,00362.98,00362.98
05303,J1,20240101,003652.75,00730.55,00730.55
05311,T,20240101,000871.71,00174.35,00174.35
05312,T,20240101,001125.53,00225.11,00225.11
05313,J1,20240101,002678.02,00535.61,00535.61
05331,J1,20240101,005435.83,01087.17,01087.17
05341,J1,20240101,003299.77,00659.96,00659.96
05342,J1,20240101,007215.91,01443.19,01443.19
05361,J1,20240101,005503.30,01100.66,01100.66
05362,J1,20240101,009817.97,01963.60,01963.60
05371,T,20240101,000235.72,00047.15,00047.15
05372,J1,20240101,000651.54,00130.31,00130.31
05373,J1,20240101,001942.69,00388.54,00388.54
05374,J1,20240101,003325.03,00665.01,00665.01
05375,J1,20240101,004935.21,00987.05,00987.05
05376,J1,20240101,008786.54,01757.31,01757.31
05377,J1,20240101,012243.56,02448.72,02448.72
05378,J1,20240101,019239.51,03847.91,03847.91
05401,S,20240101,000666.51,00133.31,00133.31
05411,T,20240101,000190.06,00038.02,00038.02
05412,T,20240101,000305.98,00061.20,00061.20
05413,T,20240101,000766.77,00153.36,00153.36
05414,J1,20240101,002981.88,00596.38,00596.38
05415,J1,20240101,004744.03,00948.81,00948.81
05416,J1,20240101,007207.28,01441.46,01441.46
05431,J1,20240101,001841.54,00368.31,00368.31
05432,J1,20240101,006353.57,01270.72,01270.72
05441,T,20240101,000282.49,00056.50,00056.50
05442,T,20240101,000659.58,00131.92,00131.92
05443,T,20240101,000869.35,00173.87,00173.87
05461,J1,20240101,003245.27,00649.06,00649.06
05462,J1,20240101,006523.06,01304.62,01304.62
05463,J1,20240101,012992.46,02598.50,02598.50
05464,J1,20240101,020864.52,04172.91,04172.91
05465,J1,20240101,029617.07,05923.42,05923.42
05471,J1,20240101,017010.06,03402.02,03402.02
05481,T,20240101,000554.40,00110.88,00110.88
05491,J1,20240101,002222.67,00444.54,00444.54
05492,J1,20240101,003877.93,00775.59,00775.59
05493,J1,20240101,004984.98,00997.00,00997.00
05494,J1,20240101,011824.23,02364.85,02364.85
05495,J1,20240101,015054.07,03010.82,03010.82
05496,J1,20240101,016547.60,03309.52,03309.52
05501,T,20240101,000277.85,00055.57,00055.57
05502,T,20240101,000965.63,00193.13,00193.13
05503,J1,20240101,002228.80,00445.76,00445.76
05504,J1,20240101,003687.69,00737.54,00737.54
05521,S,20240101,000086.67,00017.34,00017.34
05522,S,20240101,000104.87,00020.98,00020.98
05523,S,20240101,000233.71,00046.75,00046.75
05524,S,20240101,000526.17,00105.24,00105.24
05571,S,20240101,000175.24,00035.05,00035.05
05572,S,20240101,000366.80,00073.36,00073.36
05573,S,20240101,000763.67,00152.74,00152.74
05591,S,20240101,000393.38,00078.68,00078.68
05592,S,20240101,000515.53,00103.11,00103.11
05593,S,20240101,001354.34,00270.87,00270.87
05594,S,20240101,001492.14,00298.43,00298.43
05611,S,20240101,000129.41,00031.08,00025.89
05612,S,20240101,000352.41,00070.49,00070.49
05613,S,20240101,001321.58,00264.32,00264.32
05621,S,20240101,000114.37,00022.88,00022.88
05622,S,20240101,000256.33,00051.27,00051.27
05623,S,20240101,000561.45,00112.29,00112.29
05624,S,20240101,000683.84,00136.77,00136.77
05625,S,20240101,001353.02,00270.61,00270.61
05626,S,20240101,001701.89,00340.38,00340.38
05627,J1,20240101,007427.37,01485.48,01485.48
05661,S,20240101,000237.29,00047.46,00047.46
05671,S,20240101,000051.68,00010.34,00010.34
05672,S,20240101,000162.92,00032.59,00032.59
05673,S,20240101,000342.83,00068.57,00068.57
05674,S,20240101,000820.15,00164.03,00164.03
05691,S,20240101,000045.30,00009.06,00009.06
05692,S,20240101,000067.19,00013.44,00013.44
05693,S,20240101,000204.43,00040.89,00040.89
05694,S,20240101,000323.02,00064.61,00064.61
05721,S,20240101,000148.98,00029.80,00029.80
05722,S,20240101,000299.37,00059.88,00059.88
05723,S,20240101,000511.20,00102.24,00102.24
05724,S,20240101,000997.22,00199.45,00199.45
05731,S,20240101,000028.41,00005.69,00005.69
05732,S,20240101,000038.26,00007.66,00007.66
05733,S,20240101,000058.34,00011.67,00011.67
05734,S,20240101,000121.84,00024.37,00024.37
05735,S,20240101,000380.02,00076.01,00076.01
05741,S,20240101,000035.98,00007.20,00007.20
05742,S,20240101,000092.33,00018.47,00018.47
05743,S,20240101,000284.88,00056.98,00056.98
05771,S,20240101,000126.03,00025.21,00025.21
05781,S,20240101,000620.74,00124.15,00124.15
05791,S,20240101,000203.43,00040.69,00040.69
05801,S,20240101,000597.70,00119.54,00119.54
05811,S,20240101,000024.75,00004.95,00004.95
05821,S,20240101,000027.38,00005.48,00005.48
05822,S,20240101,000085.01,00017.01,00017.01
05823,S,20240101,000152.07,00030.42,00030.42
05851,P,20240101,000087.66,00017.54,00017.54
05852,P,20240101,000157.58,00031.52,00031.52
05853,P,20240101,000087.66,00017.54,00017.54
05854,P,20240101,000157.58,00031.52,00031.52
05861,P,20240101,000259.40,00051.88,00051.88
05862,P,20240101,000358.21,00071.65,00071.65
05863,P,20240101,000259.40,00051.88,00051.88
05864,P,20240101,000358.21,00071.65,00071.65
05871,S,20240101,000839.78,00167.96,00167.96
05881,J1,20240101,008245.98,01649.20,01649.20
07041,K,20240101,000004.41,00000.89,00000.89
07043,K,20240101,000032.64,00006.53,00006.53
07046,K,20240101,000144.85,00028.97,00028.97
