cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
39340,20230101,0.9213,0.9213,0,Provo-Orem UT
39380,20230101,0.7993,0.7993,0,Pueblo CO
39460,20230101,0.845,0.845,0,Punta Gorda FL
39540,20230101,0.8978,0.8978,0,Racine WI
39580,20230101,0.9543,0.9158,0,Raleigh-Cary NC
39660,20230101,0.8558,0.8558,0,Rapid City SD
39740,20230101,0.9826,0.972,0,Reading PA
39820,20230101,1.3413,1.3274,0,Redding CA
39900,20230101,0.9483,0.9483,0,Reno NV
40060,20230101,0.9113,0.9113,0,Richmond VA
40140,20230101,1.1895,1.1895,0,Riverside-San Bernardino-Ontario CA
40220,20230101,0.8606,0.8606,0,Roanoke VA
40340,20230101,1.0632,1.0283,0,Rochester MN
40380,20230101,0.9139,0.9139,0,Rochester NY
40420,20230101,0.9632,0.9385,0,Rockford IL
40484,20230101,0.9873,0.9873,0,Rockingham County-Strafford County NH
40580,20230101,0.8591,0.8591,0,Rocky Mount NC
40660,20230101,0.8517,0.8517,0,Rome GA
40900,20230101,1.6307,1.6307,0,Sacramento-Roseville-Folsom CA
40980,20230101,0.909,0.909,0,Saginaw MI
41060,20230101,0.9642,0.9642,0,St. Cloud MN
41100,20230101,0.9547,0.9547,0,St. George UT
41140,20230101,0.9418,0.9061,0,St. Joseph MO-KS
41180,20230101,0.9339,0.9339,0,St. Louis MO-IL
41420,20230101,1.12,1.12,0,Salem OR
41500,20230101,1.787,1.787,0,Salinas CA
41540,20230101,0.8874,0.8874,0,Salisbury MD-DE
41620,20230101,0.9564,0.9435,0,Salt Lake City UT
41660,20230101,0.7949,0.7949,0,San Angelo TX
41700,20230101,0.8456,0.8456,0,San Antonio-New Braunfels TX
41740,20230101,1.2737,1.2737,0,San Diego-Chula Vista-Carlsbad CA
41884,20230101,1.8591,1.8591,0,San Francisco-San Mateo-Redwood City CA
41900,20230101,0.4123,0.4123,0,San Germﬂn PR
41940,20230101,1.8747,1.8747,0,San Jose-Sunnyvale-Santa Clara CA
